R;ADC;T
1342.67;487;151.30;
1345.43;488;151.68;
1350.94;490;152.43;
1345.43;488;151.68;
1348.19;489;152.05;
1345.43;488;151.68;
1348.19;489;152.05;
1348.19;489;152.05;
1353.70;491;152.81;
1348.19;489;152.05;
1345.43;488;151.68;
1345.43;488;151.68;
1348.19;489;152.05;
1353.70;491;152.81;
1348.19;489;152.05;
1350.94;490;152.43;
1348.19;489;152.05;
1350.94;490;152.43;
1359.22;493;153.56;
1353.70;491;152.81;
1353.70;491;152.81;
1359.22;493;153.56;
1353.70;491;152.81;
1359.22;493;153.56;
1353.70;491;152.81;
1356.46;492;153.19;
1361.97;494;153.94;
1356.46;492;153.19;
1361.97;494;153.94;
1364.73;495;154.32;
1361.97;494;153.94;
1359.22;493;153.56;
1361.97;494;153.94;
1364.73;495;154.32;
1367.49;496;154.69;
1361.97;494;153.94;
1361.97;494;153.94;
1367.49;496;154.69;
1361.97;494;153.94;
1364.73;495;154.32;
1364.73;495;154.32;
1367.49;496;154.69;
1375.76;499;155.82;
1370.24;497;155.07;
1370.24;497;155.07;
1373.00;498;155.44;
1373.00;498;155.44;
1381.27;501;156.56;
1373.00;498;155.44;
1373.00;498;155.44;
1373.00;498;155.44;
1373.00;498;155.44;
1375.76;499;155.82;
1381.27;501;156.56;
1375.76;499;155.82;
1378.52;500;156.19;
1375.76;499;155.82;
1378.52;500;156.19;
1386.79;503;157.31;
1378.52;500;156.19;
1381.27;501;156.56;
1381.27;501;156.56;
1378.52;500;156.19;
1384.03;502;156.94;
1375.76;499;155.82;
1381.27;501;156.56;
1384.03;502;156.94;
1378.52;500;156.19;
1381.27;501;156.56;
1381.27;501;156.56;
1378.52;500;156.19;
1381.27;501;156.56;
1381.27;501;156.56;
1384.03;502;156.94;
1392.30;505;158.05;
1384.03;502;156.94;
1386.79;503;157.31;
1389.54;504;157.68;
1384.03;502;156.94;
1392.30;505;158.05;
1386.79;503;157.31;
1389.54;504;157.68;
1395.06;506;158.42;
1389.54;504;157.68;
1389.54;504;157.68;
1392.30;505;158.05;
1395.06;506;158.42;
1400.57;508;159.17;
1395.06;506;158.42;
1395.06;506;158.42;
1397.81;507;158.80;
1397.81;507;158.80;
1397.81;507;158.80;
1403.33;509;159.54;
1397.81;507;158.80;
1400.57;508;159.17;
1400.57;508;159.17;
1397.81;507;158.80;
1406.09;510;159.91;
1400.57;508;159.17;
1403.33;509;159.54;
1403.33;509;159.54;
1403.33;509;159.54;
1411.60;512;160.64;
1406.09;510;159.91;
1408.84;511;160.28;
1414.36;513;161.01;
1411.60;512;160.64;
1417.11;514;161.38;
1411.60;512;160.64;
1411.60;512;160.64;
1419.87;515;161.75;
1414.36;513;161.01;
1417.11;514;161.38;
1422.63;516;162.12;
1414.36;513;161.01;
1419.87;515;161.75;
1419.87;515;161.75;
1417.11;514;161.38;
1422.63;516;162.12;
1414.36;513;161.01;
1414.36;513;161.01;
1422.63;516;162.12;
1414.36;513;161.01;
1414.36;513;161.01;
1417.11;514;161.38;
1414.36;513;161.01;
1419.87;515;161.75;
1417.11;514;161.38;
1417.11;514;161.38;
1417.11;514;161.38;
1417.11;514;161.38;
1422.63;516;162.12;
1419.87;515;161.75;
1417.11;514;161.38;
1419.87;515;161.75;
1419.87;515;161.75;
1422.63;516;162.12;
1428.14;518;162.85;
1428.14;518;162.85;
1425.38;517;162.48;
1428.14;518;162.85;
1428.14;518;162.85;
1433.66;520;163.58;
1430.90;519;163.22;
1428.14;518;162.85;
1428.14;518;162.85;
1433.66;520;163.58;
1436.41;521;163.95;
1433.66;520;163.58;
1433.66;520;163.58;
1439.17;522;164.31;
1436.41;521;163.95;
1430.90;519;163.22;
1433.66;520;163.58;
1436.41;521;163.95;
1433.66;520;163.58;
1433.66;520;163.58;
1439.17;522;164.31;
1444.68;524;165.04;
1439.17;522;164.31;
1439.17;522;164.31;
1441.93;523;164.68;
1439.17;522;164.31;
1447.44;525;165.41;
1439.17;522;164.31;
1441.93;523;164.68;
1444.68;524;165.04;
1439.17;522;164.31;
1441.93;523;164.68;
1441.93;523;164.68;
1441.93;523;164.68;
1447.44;525;165.41;
1441.93;523;164.68;
1441.93;523;164.68;
1444.68;524;165.04;
1441.93;523;164.68;
1447.44;525;165.41;
1450.20;526;165.77;
1444.68;524;165.04;
1447.44;525;165.41;
1447.44;525;165.41;
1447.44;525;165.41;
1455.71;528;166.50;
1450.20;526;165.77;
1450.20;526;165.77;
1452.95;527;166.13;
